group_id,ct,full_kanji,keywords
1,01,石森虹花,にじか
1,02,今泉佑唯,いまゆい/ずーみん/ゆいふる
1,03,上村莉菜,うえむー/むー
1,04,尾関梨香,おぜ/おぜちゃん
1,05,織田奈那,おだなな/だに
1,06,小池美波,みーちゃん
1,07,小林由依,ゆいぽん/ぽん
1,08,齋藤冬優花,ふーちゃん
1,09,佐藤詩織,しーちゃん/さとし
1,10,志田愛佳,もな/ぴっぴ/くろえ
1,11,菅井友香,ゆっかー
1,12,鈴本美愉,すずもん/もん/もんちゃん
1,13,長沢菜々香,なーこ
1,14,土生瑞穂,はぶちゃん/みづぅ
1,15,原田葵,あおたん
1,17,平手友梨奈,てち
1,18,守屋茜,あかねん
1,19,米谷奈々未,よねさん
1,20,渡辺梨加,べりか/ぺー/ぺーちゃん
1,21,渡邉理佐,りさ/べりさ
1,22,長濱ねる,ねるそん/ながる
1,43,井上梨名,いのり
1,44,関有美子,かいちょう/会長/ゆみちゃん/ゆみこかいちょう
1,45,武元唯衣,ゆいちゃん/ちゅけもん/たけけ
1,46,田村保乃,ほにょ/ほのす/たむたむ
1,47,藤吉夏鈴,かりんちゃん
1,48,松田里奈,まりな/まつり/まつりな
1,49,松平璃子,りこぴ
1,50,森田ひかる,るんちゃん/るんるん/ひいちゃん
1,51,山﨑天,てんちゃん/てんてん/おてん
1,53,遠藤光莉,ひかりん/えんぴかちゃん
1,54,大園玲,れいちゃん/ぞの/れいぞの
1,55,大沼晶保,あきぽ/ぽっぽ
1,56,幸阪茉里乃,まりのん
1,57,増本綺良,ますも/きらこ
1,58,守屋麗奈,れーにゃん/もりれな/やーれな/れなー
2,1,井口眞緒,まま/ばうちゃん/いぐま
2,2,潮紗理菜,なっちょ/さりまかしー/さりー/さりえもん
2,3,柿崎芽実,めみたん/めみぃ/あごみ/めみい
2,4,影山優佳,かげちゃん/影ちゃん
2,5,加藤史帆,かとし/としちゃん/しし
2,6,齊藤京子,きょんこ/さいきょー/らーめんだいすきさいとうきょうこ
2,7,佐々木久美,ささく/きゃぷてん/きくちゃん/くみてん
2,8,佐々木美玲,みーぱん/ささみ
2,9,高瀬愛奈,まなふぃ/たかし/ふぃーさん
2,10,高本彩花,おたけ/たけもと/あやちゃん/たけちゃん/あやちぇり
2,11,東村芽依,めいめい/やんちゃる/ちゃる/やんちゃるめいちゃん
2,12,金村美玖,おみく/おすし/お寿司
2,13,河田陽菜,かわださん/ひなちゃん
2,14,小坂菜緒,こさかな/こしゃかな
2,15,富田鈴花,すず/おすず/すーちゃ/のぶこ/ぱりぴちゃん/すーじー
2,16,丹生明里,にぶちゃん/ちゃんにぶ/ぶーちゃん/ぶーぶ/にぶぶ
2,17,濱岸ひより,ひよたん/おはま
2,18,松田好花,まつだこの/このちゃん/だーこの/なっとうちゃん/まつだこ
2,19,宮田愛萌,まなもん/まなもってぃ/みやたぷろ/まにゃも
2,20,渡邉美穂,べみほ/みほわたなべ/みほちー/みほる
2,21,上村ひなの,ひなのなの/なのちゃん/なのちー
2,22,髙橋未来虹,みくにん
2,23,森本茉莉,まりもと
2,24,山口陽世,ぱる/ぱるよ
