ct,last_kanji,first_kanji,full_kanji,last_kana,first_kana,full_kana,last_eng,first_eng,group_id,graduate,independence,temporary,generation,is_other
01,石森,虹花,石森虹花,いしもり,にじか,いしもりにじか,isimori,nijika,1,true,true,false,1,false
02,今泉,佑唯,今泉佑唯,いまいずみ,ゆい,いまいずみゆい,imaizumi,yui,1,true,true,false,1,false
03,上村,莉菜,上村莉菜,うえむら,りな,うえむらりな,uemura,rina,1,false,true,false,1,false
04,尾関,梨香,尾関梨香,おぜき,りか,おぜきりか,ozeki,rika,1,true,true,false,1,false
05,織田,奈那,織田奈那,おだ,なな,おだなな,oda,nana,1,true,true,false,1,false
06,小池,美波,小池美波,こいけ,みなみ,こいけみなみ,koike,minami,1,false,true,false,1,false
07,小林,由依,小林由依,こばやし,ゆい,こばやしゆい,kobayasi,yui,1,false,true,false,1,false
08,齋藤,冬優花,齋藤冬優花,さいとう,ふゆか,さいとうふゆか,saitou,huyuka,1,false,true,false,1,false
09,佐藤,詩織,佐藤詩織,さとう,しおり,さとうしおり,satou,siori,1,true,true,false,1,false
10,志田,愛佳,志田愛佳,しだ,まなか,しだまなか,sida,manaka,1,true,true,false,1,false
11,菅井,友香,菅井友香,すがい,ゆうか,すがいゆうか,sugai,yuuka,1,true,true,false,1,false
12,鈴本,美愉,鈴本美愉,すずもと,みゆ,すずもとみゆ,suzumoto,miyu,1,true,true,false,1,false
13,長沢,菜々香,長沢菜々香,ながさわ,ななこ,ながさわななこ,nagasawa,nanako,1,true,true,false,1,false
14,土生,瑞穂,土生瑞穂,はぶ,みづほ,はぶみづほ,habu,mizuho,1,false,true,false,1,false
15,原田,葵,原田葵,はらだ,あおい,はらだあおい,harada,aoi,1,true,true,false,1,false
17,平手,友梨奈,平手友梨奈,ひらて,ゆりな,ひらてゆりな,hirate,yurina,1,true,true,false,1,false
18,守屋,茜,守屋茜,もりや,あかね,もりやあかね,moriya,akane,1,true,true,false,1,false
19,米谷,奈々未,米谷奈々未,よねたに,ななみ,よねたにななみ,yonetani,nanami,1,true,true,false,1,false
20,渡辺,梨加,渡辺梨加,わたなべ,りか,わたなべりか,watanabe,rika,1,true,true,false,1,false
21,渡邉,理佐,渡邉理佐,わたなべ,りさ,わたなべりさ,watanabe,risa,1,true,true,false,1,false
